word,translation,part_of_speech,pronunciation,ex_1_jp,ex_1_en,ex_2_jp,ex_2_en,ex_3_jp,ex_3_en,meaning_story,reading_story,pitch_accent,tag
期間,period,NOUN,きかん,期間限定で販売しています。,They are on sale for a limited time.,,,,,A period of time interval is still a period or interval of time.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,キꜜカン *** キカꜜン,level12 vocab
植物,plant,NOUN,しょくぶつ,残念ながら園芸の才能は無いんだけど、植物を育てるのは好きなので、彼女が一週間近くも植物に水をやるのを怠ったっていうのはちょっと信じられません。,"Unfortunately, I don’t have a green thumb but I like to grow plants and I can’t believe she neglected to water her plants for almost a week.",,,,,Plant things are plants or vegetation.,"This is a jukugo word, which usually means on'yomi readings from the kanji. You'll need to remember the 物 reading as ぶつ, though. Why? Because you like looking at plant butts. You get off on it. You're weird like that. Imagine this.",ショクꜜブツ,level12 vocab
屋根,roof,NOUN,やね,君はお昼までに屋根の雪を取り除いて下さい。,Please clear the snow off the roof by noon.,,,,,"The root of your roof is still your roof. If it helps, imagine roots growing out of your roof. They protect you from the rain.","This word uses the kun'yomi readings. The kun'yomi for 根 is ね. For a mnemonic, we'll use the sound a horse makes, neigh (ね). Why is the horse neigh-ing? It's stuck on the roof.",ヤꜜネ,level12 vocab
根,root,NOUN,ね,彼は素敵な人だと思うかもしれないが、根がひどい男なのだ。,You might think he’s a great person but he’s really a horrible man at heart.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"Since this word is made up of a single kanji, it should use the kun'yomi reading. When learning the kanji, you didn't learn that reading, so here's a mnemonic to help you with this word: The root you have is a ne-root, used to perform necromancy (it's why it's called a ne-root). Grind it up and use it on some dead bodies to bring them back to life (in your imagination, of course).",コꜜン *** コン *** ネꜜ,level12 vocab
根本,root,NOUN AND NO ADJECTIVE,"こんぽん, ねもと",クリスティンはベーコンを食べませんが、この問題の根本はどこにあると思いますか？,"Kristen doesn’t eat bacon, where do you think the root of this problem lies?",,,,,"The root origin is the root of something. Possibly even more root than root, but we'll stick with root.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. Careful, 本 is ぽん, which is a weird rendaku.",コンポン *** コンポꜜン,level12 vocab
悲しい,sad,I ADJECTIVE,かなしい,あなたが悲しい気持ちの時は、お父さんも私も幸せじゃないですよ。,"When you feel sad, neither your dad nor myself are happy.",,,,,"This is a single kanji with an い on the end, meaning you know it's probably an adjective. What's the adjective form of sad? It's sad, sadly.",The reading is the same as the reading you learned with the kanji. No reason to be sad about that!,カナシイ,level12 vocab
船員,sailor,NOUN AND NO ADJECTIVE,せんいん,祖父は海軍の船員でした。,My grandfather was a sailor in the Navy.,,,,,A member of a boat is called a sailor.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,センイン,level12 vocab
学期,"school term, semester",NOUN AND NO ADJECTIVE,がっき,学期末試験は三月なので、まだまだ勉強する時間はたっぷりあります。,Final exams are held in March so there is still plenty of time to prepare.,,,,,"The study period of time isn't the pitiful amount of time you spend studying. It's something much bigger: the school term. Ugh, how much longer is this study period of time???","The reading is on'yomi because it's a jukugo word but がく gets shortened to がっ, so be careful. Maybe you just wish the school term would get shorter which is why you shortened がく like that?",ガッキ,level12 vocab
二階,second floor,NOUN,にかい,毎日午後に二階にある同じ教室に行って、英語を二時間教えます。,Every afternoon I go to the same classroom on the second floor and teach two hours of English.,,,,,The two floor is the second floor. Going up!,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",ニカイ,level12 vocab
店員,shop staff,NOUN AND NO ADJECTIVE,てんいん,ええっと、レジの順番待ちの列に並んでいる時に、ある店員さんが「万引きです！捕まえて！」と叫ぶのが聞こえたので、彼を捕まえたんです。,"Well, while standing in the checkout line I heard one of the salespeople yell, ""Shoplifter! Grab him!"" so I grabbed him.",,,,,"The shop member is someone who is a ""member"" (aka employed by) the shop. This is the shop staff.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",テンイン,level12 vocab
短い,short,I ADJECTIVE,みじかい,わぁ！あんたの尻尾が私より短いなんて、知らなかったわ。,Wah! I didn’t know your tail was shorter than mine.,,,,,"This is a single kanji with an い on the end, meaning you know it's probably an adjective. What's the adjective form of short? It's short.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: Please accept my apology in advance for this one, but if you're very short you may be a midget. And if you're a midget you probably drive a midget car (みじか).",ミジカꜜイ,level12 vocab
短期,short period,NOUN AND NO ADJECTIVE,たんき,私は父に、短期的なコスト削減のためにリーダーシップ研修を縮小している企業は、一文惜しみの百知らずだと教えられました。,My father told me that companies that cut back on leadership training to save money in the short term are penny wise and pound foolish.,,,,,"The short period of time is the short term. You know not to think short term anyways, right? You're learning kanji, after all.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",タꜜンキ,level12 vocab
短刀,short sword,NOUN,たんとう,私の父は、母に短刀で刺されて死にました。,My mother stabbed my father with a dagger and he died.,,,,,The short sword is the short sword. What's another word for a short sword? It's a dagger.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",タントꜜー,level12 vocab
息子,son,NOUN,むすこ,全くひどい息子をもったもんだよ。あいつは昨夜私のケーキの残りをこっそり盗み食いしやがったんだ。,I have the most beastly son. He sneakily ate up the rest of my cake last night.,,,,,"The breath child (that lets you release your breath when it's born) is a son. Nowadays it's cool to have a girl, but back in the day you wanted a son to carry on your underwater basket weaving legacy. That's why this is a son.","The reading of this is messed up. 子 is こ, that should be okay. 息 is むす for some reason though. Why? Because you gave birth to a son, but he was a moose (むす). You better hold that breath again, because this is not what you wanted.",ムスコ,level12 vocab
球,sphere,NOUN,"たま, きゅう",ねぇ、新しい野球の球を買ったんだけど、一緒にキャッチボールしない？,"Hey, I got a new baseball. Do you want to play catch with me?",,,,,"The kanji and the word are exactly the same. That means they share meanings as well. Another meaning I'm going to add is sports ball because this is the word used for balls in various sports (soccer, baseball, etc).","Since this word is made up of a single kanji, it should use the kun'yomi reading. When learning the kanji, you didn't learn that reading, so here's a mnemonic to help you with this word: You're holding onto a sports ball in your hand, let's say it's a baseball for this mnemonic's sake. You throw it at your friend who's going to catch it. As it flies through the air, though, it transforms into a tomahawk (たま). Imagine your shock and fear as you see this happening, flying towards your friend! It's going to stick in his forehead. He can't catch this with his glove! Also notice that it has the same reading as the vocab word 玉. So, if you know that one, you may know this one too! They're kind of similar. This can be read きゅう too, if you're talking about more of a globe sphere than the ball sphere you throw.",キュꜜー *** タマꜜ,level12 vocab
泉,spring,NOUN,いずみ,わぁ！すごく綺麗。何か特別なダイエットでもしたの？それとも、若返りの泉でも見つけたとか？,Wow! You look beautiful! Did you go on a special diet? Or did you find the Fountain of Youth?,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"Since this word is made up of a single kanji, it should use the kun'yomi reading. When learning the kanji, you didn't learn that reading, so here's a mnemonic to help you with this word: You're looking at a natural spring in the ground. Water is bubbling up, but then something changes. It looks a bit clogged... something is poking out. Then, all of a sudden, Mario flies out of the springs, falls in front of you and yells: ""izumeeeee (いずみ), Mario!""",イズミ,level12 vocab
湯気,steam,NOUN,ゆげ,美味しい寿司飯を作るには、しゃもじを使って、湯気が立つ炊きたての熱いごはんに酢を混ぜる必要があります。信じられないかもしれませんが、実際に米一粒一粒を潰さずに酢を混ぜるには技術が必要です。,"To make good sushi rice, you need to mix vinegar into steaming hot, freshly cooked rice, using a paddle. Believe it or not, it actually takes skill to mix the vinegar into the rice without crushing the individual grains.",,,,,"Hot water's energy isn't the hot water itself, it's what comes out of it (when it's boiling, for example). This is the steam and vapor.","The ゆ part of the reading makes sense. The げ part for 気 is a bit of an exception. Just think of yourself standing in the steams and vapors. You're getting all hot and sweaty, but the feeling makes you incredibly happy and gay (げ). Then someone asks, as they look at you in the steam: ""Hey, you gay?"" (ゆげ). You answer however you want to answer.",ユꜜケ°,level12 vocab
勉強,studies,NOUN AND SURU VERB,べんきょう,英語の勉強、頑張って下さいね。私も日本語をずっと勉強しているので苦労はよくわかります。,"Keep up your English language studies. I’m always working on my Japanese too, so I know how hard it is.",,,,,"Your exertion is strong. You'd think this means you're working hard or something, but it means studies (like studies you have for a test or something). So for this, just imagine yourself exerting yourself really strongly on your homework. These are your studies / what you study.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",ベンキョー,level12 vocab
太陽,sun,NOUN,たいよう,日本万国博覧会のシンボルは、岡本太郎が作った「太陽の塔」で、それは今も日本の大阪の吹田にある万博公園にそびえ立っています。,"The symbol of Expo ’70 was the Tower of the Sun, created by Taro Okamoto, and it’s still standing in the Expo Commemoration Park in Suita, Osaka, Japan.",,,,,"The fat sunshine thing up in the sky... what is it called? Oh, that's right. It's the sun.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",タꜜイヨー,level12 vocab
水着,swim suit,NOUN,みずぎ,水着はありますか？とびきりセクシーなのを探しているんですが。,Do you have swimsuits? I’m looking for a super sexy one.,,,,,The water wear that you wear is a swim suit.,"The reading for this one is all kun'yomi vocab reading, but you should know these by now. 水 is みず. 着 uses the reading you learned with the kanji but this words employs that pesky rendaku, so remember that き becomes ぎ here.",ミズキ°,level12 vocab
田代島,tashirojima,PROPER NOUN,たしろじま,最も有名な「猫島」といえば、日本の宮城県にある田代島という島です。,"The most famous ""cat island"" is the island Tashirojima in Miyagi prefecture, Japan.",,,,,"It's an island where they use cats as a substitute for rice! Lovely Tashirojima. Don't worry, they don't eat them! ...or, wait, do they?","This is a place name and it uses the kun'yomi. You haven't learned this particular kun'yomi for 代 yet, so here's a mnemonic to help you remember it: When you go to Tashirojima, make sure you visit the old woman. You know what woman I'm talking about, the one who starred on Murder she wrote (しろ). She writes a lot about cats now, I guess.",,level12 vocab
茶の湯,tea ceremony,NOUN,ちゃのゆ,茶の湯の世界には、「一つ一つの出会いを大切に」という意味の「一期一会」という言葉があります。この言葉は、映画「フォレスト・ガンプ」の副タイトルとしても使われました。,"In the world of tea ceremonies there is a saying, ""Ichi-go ichi-e,"" which means ""to treasure every encounter."" This saying was also used as the subtitle for Japan’s release of Forrest Gump.",,,,,The hot water of tea. That is part of the ceremony that goes into the tea ceremony.,The readings are both the readings you learned with the kanji. Now you can spend a little more time drinking tea at a tea ceremony and a little less time trying to remember kanji readings.,チャノユ,level12 vocab
気温,temperature,NOUN,きおん,気温が急に下がった。,The temperature fell suddenly.,,,,,"The energy of the warmth will cause the temperature to go up and down. Energy goes up? Higher temperature because of more movement and activity. Energy goes down? Well, temperature gets colder and slower.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",キオン,level12 vocab
温度,temperature,NOUN,おんど,醸造中に天気や温度がほんの少し変化しただけで、酒の味に影響することがあるため、酒を作ることは非常に難しいと言われています。,It’s said to be very difficult to make sake because the slightest change in the weather or temperature during brewing can affect it’s taste.,,,,,"The warm degrees is how many degrees warm it is in here. Of course, there can be very few warm degrees as well, making it very cold. What is all this? It's the temperature.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",オꜜンド,level12 vocab
地球,the earth,NOUN AND NO ADJECTIVE,ちきゅう,地球という名前を考えたのは誰だ？,Who came up with the name Earth?,,,,,The earth sphere! It's where we live and the planet we call home. It's the earth!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,チキュー,level12 vocab
終わり,the end,NOUN,おわり,これで終わりだ。,This is the end.,,,,,"By now you should know that 終わる means ""to end"" or ""to finish."" So what is this noun-version of that word? It would be the end or the finish.","The reading comes from 終わる. So long as you know that word, you can learn this word's reading as well!",オワリ,level12 vocab
第一,the first,ADVERB AND NOUN,だいいち,あの有名なフグ一家の第一印象はどうでしたか？,What was your first impression of the famous blowfish family?,,,,,"The ordinal number prefix one refers to the first thing. This is the number one place you can get. In fact, it's simply the best.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",ダꜜイイチ,level12 vocab
最悪,the worst,NOUN AND NA ADJECTIVE,さいあく,「昨夜、自動車を盗まれちゃったんだよ。」「げっ、最悪じゃん。」,"""My car was stolen last night."" ""Oh, no! That’s the worst!""",,,,,"The most bad is the worst. At least all there is is up now, right?","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",サイアク,level12 vocab
三番目,third thing,NOUN,さんばんめ,日本の有人島の多さは、インドネシア、フィリピンに次いで、世界で三番目だってこと、知ってた？,"Did you know that Japan has the third highest number of inhabited islands in the world, after Indonesia and the Philippines?",,,,,"Remember 一番目? This is just like that, but with three, making it the third thing or simply the third.",Use your knowledge of the reading for 一番目 to remember the reading for this word as well.,,level12 vocab
時期,time,NOUN,じき,彼は単にある時期にさしかかっているだけだよ。ほら、外国で暮らす人はたいてい、カルチャーショックの時期を経験するっていうじゃない？,It’s just a phase he’s going through. Don’t they say people living in a foreign country usually experience a period of culture shock?,,,,,"The time period of time is a period of time of time. If anything, just notice how many times the word ""time"" is used and you'll remember this word means time. The meaning is a specific type of time, though. This is talking about a season or period of time, not the concept of time itself. That would be 時間 or something.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",ジꜜキ,level12 vocab
〜倍,times,NOUN AND SUFFIX,ばい,回転寿司の普及に伴い、日本におけるサーモンの消費量は輸入開始から三倍となった。,"Since the introduction and subsequent spread of conveyer belt sushi shops, salmon consumption in Japan has tripled.",,,,,"Throw this onto a number and you have yourself the number of times something has increased. For example, 3倍 means something increased ""three fold.""","The reading is the same as the one you learned with the kanji. Omit the 〜 when writing out the answer, though. That just represents that there should be something before the kanji in this word when being used.",バイ *** バꜜイ,level12 vocab
着く,to arrive,GODAN VERB,つく,列車は時間通りに着かない。,The train didn’t arrive on time.,,,,,"This word is tough, because there's another word in this level (着る) that means ""to wear"" that is so similar. This word, however, means to arrive. You should have seen that meaning with the kanji 着 as well, so I hope that helps. To differentiate between this and 着る, though, zoom in on the く. You want to be cool (く) so you arrive to the party late.","The reading is one of the readings you learned with the kanji (sadly there were two, and this was the secondary one). So to help you, keep thinking about the party you showed up late to. How late were you? Two (つ) hours and two minutes late, to be exact.",ツꜜク *** ツクꜜ,level12 vocab
登る,to climb,INTRANSITIVE VERB AND GODAN VERB,のぼる,一生の内、少なくとも一度は富士山に登ることが夢なんです。,A dream of mine is to climb Mt. Fuji at least once in my lifetime.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means climb so the verb vocab version would be to climb (or to ascend), if that's the kind of thing you're into.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. This has the same reading as 上る which you learned all that time ago in Level 1. If you can remember that, you can remember this one!",ノボル,level12 vocab
集まる,to come together,INTRANSITIVE VERB AND GODAN VERB,あつまる,見て！あそこにヤンキーたちがたくさん集まってるよ。,Look at that bunch of miscreants gathering over there!,,,,,"I bet you remember 集める which means ""to collect."" This is similar to that, except you're not doing the action of collecting, it's just happening. Instead of ""to collect"" it's to come together. You can remember this because a herd of Marus (the cat) will come together into one place if they sense a box there.",The reading is the same as 集める so if you know that word you'll know how to read this word as well.,アツマꜜル,level12 vocab
落とす,to drop something,TRANSITIVE VERB AND GODAN VERB,おとす,「今日、『男を落とす方法』っていう本を買ったんだけど、帰り道にどこかで落としちゃったみたいなんだよね。」「ええ〜。それは運が悪かったわね。でも、そんなに肩を落とさないで。そのうち良いことあるわよ。」,"""Today I bought a book called ""How to Make a Man Fall In Love With You,"" but I lost it somewhere on the way back home."" ""Aww. That’s too bad, but don’t be too disappointed. Your day will come.""",,,,,"You've seen how 落ちる means ""to fall down."" Now you're doing the action of ""falling something down,"" aka you're dropping it. You can remember this because you kind of toss (とす) something and it drops to the ground, making this word mean to drop something.","The reading comes from 落ちる. So long as you know that word you can apply that reading over here, too.",オトꜜス,level12 vocab
消す,to extinguish,TRANSITIVE VERB AND GODAN VERB,けす,教室を出た後は電気を消すのを忘れないで下さい。,"After you leave the classroom, please don’t forget to turn off the light.",,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means extinguish so the verb vocab version is to extinguish. You can also use this word to refer to turning something off (like lights). Technically you're extinguishing the lights or power, right?","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: The kettle is getting too hot so it catches on fire. You have to extinguish the flames before your house burns down too, just because of this stupid little kettle.",ケス,level12 vocab
転ぶ,to fall over,INTRANSITIVE VERB AND GODAN VERB,ころぶ,コウイチはもう少しで地面に転ぶところだったが、スーパーマンのコスプレをしたビエトに助けられた。,"Koichi had almost fallen to the ground, but Viet, who was wearing a Superman costume, saved him.",,,,,"Do you remember the word 転がる? This is kind of similar, except now you're falling over (and tumbling rolling around, I don't know). So, this version of the word is to fall over. You can remember this because when you hit the ground you yell out ""BOOOOObs!"" (because you fell on your boobs, and it hurts).","The reading comes from 転がる. Hopefully you know that one well enough to associate it with this one, meaning you can read them both.",コロブ *** マロꜜブ,level12 vocab
流す,to flow,TRANSITIVE VERB AND GODAN VERB,ながす,トフグの風習に、河豚の形に切りとった紙を、コウイチの誕生日に川に流すというものがあります。,A Tofugu custom involves cutting paper into the shape of Fugu and setting them afloat down a stream on Koichi’s birthday.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means stream, but what in the world could ""to stream"" be (remember, there weren't streams of StarCraft II games back in the day when this word was made up)? Well, let's think water. If you're streaming water, it's going to flow. Alternatively, to flush works too.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: What do you do with someone who is a nagger (one who nags)? You have to flush them down the toilet. Imagine someone nagging you to do your chores so you flush them down the toilet, somehow.",ナカ°ꜜス,level12 vocab
東京都,tokyo metropolis,PROPER NOUN,とうきょうと,スカイツリーがそびえ立つ東京都墨田区では、今年は昨年よりも早く木の葉が落ち始めた。,"The leaves started falling earlier this year than last year in Tokyo Metropolis’ Sumida Ward, where the Tokyo Sky Tree stands.",,,,,"The Tokyo Metropolis is, of course, the Tokyo Metropolis. Technically this is one of Japan's prefectures, but it's called a ""Metropolis"" instead. It's the capital and the largest city in all of Japan!","The reading is just 東京 and 都 (と). Really it's all just the reading you learned with the kanji, too, so you can think of it that way as well.",,level12 vocab
動く,to move,INTRANSITIVE VERB AND GODAN VERB,うごく,くそ〜。パソコンが動かなくなっちゃったぜ。どうしてこうなったんだろう？,Shoot! My computer doesn’t work. What brought this on?,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means move so the verb vocab version is to move.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: Someone is telling you to move. They are saying ""you go (うご) over there. Move! Move!"" If it helps, have them pronounce ""You go"" more like ""Ugo.""",ウコ°ꜜク,level12 vocab
起こる,to occur,INTRANSITIVE VERB AND GODAN VERB,おこる,「ねぇ、僕にキスしたい？」「ありえない。100万年経ってもあんたとキスなんて絶対にしたくないから。天地がひっくり返っても、起こりっこないよ。」,"""Hey, do you want to kiss me?"" ""Absolutely no way would I ever want to kiss you in a million years. That would never happen even if heaven and earth were turned upside down.""",,,,,"You know that 起きる means ""to wake up."" This word, however, means to occur. Think of it this way. When an action ""wakes up"" in a way it is occurring as well. That's why this word means to occur. Just imagine a core (こる) of uranium just occurring out of nowhere to help you to remember this word.","The reading is the same as what you learned with the kanji and the same as 起きる too, meaning you should be able to put together the reading on your own.",オコꜜル,level12 vocab
開く,to open,INTRANSITIVE VERB AND GODAN VERB,あく,「すみません。トフグ博物館は明日は開いてますか？」「開いてますよ。でも、混雑が予想されるので、早めにお越しになられることをお勧めします。」「分かりました。有難うございます。」,"""Excuse me. Is the Tofugu Museum open for business tomorrow?"" ""Yes, but it might be quite busy, so I suggest you get there early."" ""Okay, thank you.""",,,,,"You should know 開ける by now. This word is similar to that, except it has to do with when things are just open. It's the same thing, though. The meaning is also to open.",The reading can come from 開ける. So if you know the reading of that word (I hope you do!) then you can apply that knowledge here.,アク *** ヒラꜜク,level12 vocab
歯,tooth,NOUN,は,電動歯ブラシを買うことを考えているんだが、どれも値段が高いんだよね。,"I’m thinking about buying one of those electric toothbrushes, but they’re so expensive.",,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"The reading that you learned with the kanji is the same as this one. HA! Take that, kanji.",ハꜜ,level12 vocab
植える,to plant,TRANSITIVE VERB AND ICHIDAN VERB,うえる,この種をどこに植えるつもりだい。,Where do you plan on planting that seed?,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means plant, so the verb version is to plant.","You haven't learned this reading for 植 yet, so here's a mnemonic to help you: You decided to plant an uni (う) tree in your backyard. That's right, you can plant uni and they'll grow like fruit off a really spiky tree. Just picture it. And then you'll get to eat all the uni you want!",ウエル,level12 vocab
鳴る,to ring,INTRANSITIVE VERB AND GODAN VERB,なる,雷が鳴るが、雨が降らなかった。,Thunder rumbled but it didn’t rain.,,,,,"This is a lot like 鳴く, which means ""to chirp"" (or some other animal noise). This has to do with noises too, but not so much animal and more like bells (including telephones). This word means to ring. If it helps, think of the る as a hint, kind of like the first sound of the word ""ring"" (る). So, る = ""ring"" and it's a verb, so to ring.",The reading can come from 鳴く. So long as you know the reading for that word you can know the reading for this word as well.,ナル,level12 vocab
歌う,to sing,TRANSITIVE VERB AND GODAN VERB,うたう,「外は雨が降ってるね。外出せずに家で歌でも歌いたいな。」「じゃあ、こうしよう。今夜は出かけるのをやめよう。で、私が夕食を作るから、あなたは私のために歌ってよ。」,"""It’s raining outside. I just want to stay in and sing."" ""I’ll tell you what. Let’s stay in tonight and I’ll make dinner for you if you’ll sing songs for me.""",,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means song so the verb vocab version of this is to sing, because you don't ""to song,"" you ""to sing.""","Awesomely, this uses the same reading as the reading for the vocab words 歌. Just throw the う onto the end and you have yourself the reading. So, sing your heart out and learn this word easily. ""IIIIiiIIIiiiII WILLL ALLllwaYYYs Loovvve YoOooOOooooOOOO ♬!""",ウタウ,level12 vocab
着る,to wear,TRANSITIVE VERB AND ICHIDAN VERB,きる,私は一昨日の彼氏の誕生日会に、黒の膝丈のドレスを着ていったわよ。,I wore a knee-length black dress at my boyfriend’s birthday party the day before yesterday.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means wear so this word means to wear or to put on. You'll need to differentiate it from 着く which means (to arrive), though. Just think of how the る is the rude guy trying to get you to wear things you don't like wearing.","The reading is the same as the one you learned with the kanji, though it is one of two. To remember that this particular one is き just imagine that you have to wear a dress made completely of keys. Feel the metal on your skin and the weight on your shoulders. It's not a comfortable thing to put on.",キル,level12 vocab
心配する,to worry,SURU VERB,しんぱいする,外では雪がしんしんと降っており、地面が凍りだしているので、彼氏の家に行くときに丘を車で登りきれるのかどうか心配しています。,"The snow is falling heavily outside and the roads are getting pretty icy, so I’m worried about being able to drive up the hill to my boyfriend’s house.",,,,,"You know that 心配 is ""a worry."" What about the verb version of that? It would be to worry.","The reading comes straight from 心配 so try to make sure you know that word so you can read this word! It's also all jukugo on'yomi reading, too, so you should be able to figure it out regardless.",,level12 vocab
流行,trend,"NOUN, SURU VERB, AND NO ADJECTIVE","りゅうこう, はやり",ねぇ、フグ。魚達向けに、流行のヘアスタイルを掲載した雑誌を出版したらどうかなって思ってるんだけど、あなたはどう思う？,"Hey, Fugu. I’m thinking of publishing a magazine cataloging trendy hairstyles for fish, but what do you think?",,,,,Where the stream is going is where everyone's going. That's what tends to be the trend of things. Imagine a trend going on in your society right now. Imagine it going down a stream with everyone following it.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",ハヤリꜜ *** リューコー,level12 vocab
旅行,trip,"NOUN, SURU VERB, AND NO ADJECTIVE",りょこう,あなたが私の旅行について話したいのは分かるんだけど、それよりも先に、私がいない間、どうしてたの？,"I know you want to talk about my trip but first things first, how have you been while I was away?",,,,,When you go on a trip you're taking a trip. This is travel. You should try to do this occasionally! Perhaps a nice 旅行 to Japan?,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",リョコー,level12 vocab
旅,trip,NOUN AND SURU VERB,たび,私はもうすっかり旅支度ができているよ。,I’m already prepared for our trip.,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"Since this word is made up of a single kanji, it should use the kun'yomi reading. When learning the kanji, you didn't learn that reading, so here's a mnemonic to help you with this word: You are going on your trip but you need to bring your little tabby (たび) cat with you to keep you company. This cat keeps you calm and lets you leave your house, but the airlines won't let you take it on this trip. What to do?",タビꜜ *** リョꜜ,level12 vocab
下着,underwear,NOUN,したぎ,どの下着が欲しい？植物柄？それともアニマル柄？好きなものを選んでいいよ。,Which underwear do you want? The plant or animal patterned ones? Pick whichever one you like.,,,,,"The things you wear below your other clothes. That is your underwear. You do wear underwear, right?","The reading is all kun'yomi. For 下 you should know this reading by now (the reading you use with the vocab word 下). For 着 it's just the reading you learned, though you'll have to take into account the rendaku.",シタキ°,level12 vocab
温かい,warm,I ADJECTIVE,あたたかい,「デザートに温かいアイスクリームはいかがですか？」 「いいえ、もう結構です。」,"""Would you like some warm ice cream for dessert?"" ""No, we’re all set.""",,,,,"This is a single kanji with an い on the end, meaning you know it's probably an adjective. What's the adjective form of warm? It's warm.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: Touch something that's warm... too warm! You pull your hand back and go ""AH ta ta! (あたた). People make this noise when they touch something that's hot, I hear. It's almost like saying ""hot hot hot"" while dropping the ""h"" sound.",アタタカꜜイ *** アッタカꜜイ,level12 vocab
水深,water depth,NOUN,すいしん,ダイビングをしている際に、彼は水深十メートルのところで虹色の海藻を見つけた。,"While diving at a depth of ten meters, he found rainbow color seaweed.",,,,,The water deepness is the water depth. You should check this before diving into the water so you don't hit your face.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",スイシン,level12 vocab
話し方,way of speaking,NOUN,はなしかた,うわぁ！君の話し方、まるで母国語が日本語の人みたいだね。,Wow! The way you talk sounds just like a native Japanese person.,,,,,"The way of speaking is your way of speaking (or it could be your speaking style). This is how someone talks. Some people have an interesting speaking style, after all.",The readings come from 話す and 方. By now you should have seen these words separately and should be able to read this word too.,ハナシカꜜタ *** ハナシカタ *** ハナシカタꜜ,level12 vocab
言葉,word,NOUN,ことば,私は言葉に詰まった。,I was at a loss for words.,,,,,"A leaf of the things you say is like a leaf from a tree of speaking. That leaf is a part of the whole language, it is a single word, though it can add up to be a language or manner of speech.","The reading for 言 is one you haven't learned. It's kind of an exception, in fact, though you might see it from time to time. You'll want to imagine yourself playing a koto (こと). Each strum of the instrument sends forth several words from its strings, flying at the person you're talking to. You speak your words via music, specifically the koto (so think about using other instruments as well to communicate... they just don't work).",コトバꜜ,level12 vocab
