kanji,meaning,onyomi,kunyomi,radicals,radical_names,meaning_story,meaning_hint,reading_story,reading_hint,tags
築,construct,ちく,きず,"木, 竹","Tree, Bamboo, Saw","You saw down a bamboo tree to construct and build a building. Bamboo trees are great for construction, so you saw down a bunch of bamboo trees to build this new building.","Imagine yourself sawing down this bamboo tree. Feel the saw in your hands as you slide through the bamboo, wood chips flying everywhere.","You’re a chick (ちく). Defying all convention, you’re a chick construction worker, building this building with bamboo. There aren’t too many chicks in this business, but you’re one of them.","Imagine how you feel as you construct and build this building with your bare hands. Hear the bamboo donk, bonk, and clunk as you stack them atop one another to build your building.",kanji level15
勇,courage,ゆう,いさ,"マ, 男","Mama, Man",A man who cries for his mama lacks courage. A man who needs his mama to be brave is not a man at all.,Imagine yourself crying for your mama. You’re a wuss. Crybaby.,Who is crying? You (ゆう) are. You lack courage and bravery and everything so that's why it is you who is doing the crying.,Feel the shame of being you. You cry and cry because you lack courage and bravery and all that. Feel sad as everyone laughs and jeers at you.,kanji level15
泣,cry,きゅう,な,立,"Stand, Tsunami","If you stand in front of a tsunami, you’re going to cry. That tsunami is going to hit you hard, and rip you right off the ground on which you stand. And then you’ll cry like a little baby.",Imagine getting hit with the full force of a tsunami. It slams into you and crushes every bone in your body. It hurts so much you cry.,"You know what else can make you cry? A Nazi (な). Nazis are mean, mean people, much worse than tsunamis. Nazis are bad news. Imagine a Nazi surfboarding on top of that tsunami that just hit you and made you cry. I imagine there’s nothing worse in this world than that.","Picture this mean Nazi riding toward you atop of this tsunami wave. Hear him screaming, “Heil!” just before the tsunami wave crashes over you. Rotten Nazi.",kanji level15
司,director,し,つかさど,,"Cloak, Creeper","A creeper inside of a cloak, who are they? They’re the director of a movie. They try to look all mysterious, but you know it’s just so people go see their movies and think they’re cool. Really they’re just a creep deep down.",Picture the creepiest director you know. Wearing a cloak and cackling as he directs your favorite actors.,"When we need to remember し we use ""Sheen,"" as in ""Charlie Sheen."" I bet you know who is under that cloak now. Charlie Sheen (し) is the creeper directing the movie!","Picture his face when you find out who the director really is. Wait… hey he’s running away! Grab his cloak, don’t let him get away!!",kanji level15
区,district,く,-,"メ, 匚","Treasure, Cage",The treasure is in a cage... that can only mean one thing - the treasure is in the zoo district of town.,"Hard part about memorizing this radical is that you have to focus in on the district part of the mnemonic, which doesn't stand out as the other elements. Try to think of all the different districts a treasure in a cage could be located in... Think through all of them in your head, and narrow in on one particular district. Then, say the district name out loud, because that's where you have to go.","What district do you want to go to? Obviously, the best district is the cool district.","Imagine a district with all the coolest things in the world. What those things are depends on you, though. So, imagine these things, and feel like you’re in heaven. Coolest district evah’!",kanji level15
英,england,えい,-,央,"Central, Flowers","There are many flowers in central England. You wouldn’t expect it as England has many buildings and the like, but there’s actually a lot of flowers in central England. This kanji also often means English, which is a pretty similar concept so hopefully it's not hard to remember as well.","Picture yourself in central England, out in a field somewhere, smelling the flowers. The flowers smell nice. Smell the English smelling flowers in your nose holes.","In this central park of flowers in England, you’re playing a game of poker. You were dealt one ace (えい), and then another ace. Pocket aces! You’ll win for sure.","Imagine the excitement of having pocket aces. Feel the grass on the ground, the wind in your hair, and the smell of the flowers in your nostrils as you try to contain your excitement.",kanji level15
丈,height,じょう,たけ,丈,Height,The meaning of the kanji is the same as the meaning of the radical: height. It can also be used as a measurement that's approximately ten feet.,"If you know the radical's meaning, you'll know the kanji's meaning as well.","Your job is to figure out the height of Joeseph (じょう) Stalin. You measure him, and you find that his height is way higher than you imagined. In fact, he's not the height of a normal human. He's like, ten feet tall.","It's pretty incredible you get to measure Joeseph Stalin's height. What's more incredible is his height, itself.",kanji level15
夫,husband,"ふう, ふ",おっと,夫,Husband,"The husband radical and the husband kanji are the same. How useful, unlike some husbands, I'd imagine.",,"What do all husbands love? Food (ふう)! Can you hear your future husband? He’s saying,” Fooooood! FOOOOOD!” like some kind of food craving zombie.","Husbands love eating food. Who doesn’t though, really?",kanji level15
飯,meal,はん,めし,"食, 反","Eat, Devil","A devil can’t afford not to eat a meal because devils need their nutrients and energy. Devils need to eat their meals. If they don’t, they wither away and die.","Regardless of whether or not you’re a devil, you need to eat meals to live. Feel how hungry you are not eating a meal, feel your stomach growling devilishly.",You sit next to the devil who is eating his meal. You look down on his plate. It's Han Solo's face and hands. The devil is eating Han Solo. Oh. No.,"Imagine him being eaten. It is gruesome, but you have to watch. Perhaps he offers you a bite? How did it taste?",kanji level15
計,measure,けい,はか,"十, 言","Cross, Say","So, would you say we make the cross ten meters long? I'm not sure... maybe we should measure it?","Nah, let's just say ten and call it a day. We don't need to measure it.","To remember the reading けい, we use the KKK (Ku Klux Klan) - So what were you supposed to measure earlier? Turns out, it was a cross for the KKK (けい). Now they're really pissed off at you, and they're coming for you (because their cross is like 10 meters too short).",Scold yourself for not bothering to measure the cross you were making for them. How dumb of you. Now you're probably going to get beaten up or harassed a lot at the very least. You have to escape!,kanji level15
法,"method, law",ほう,-,去,"Cemetery, Tsunami","If a tsunami hits a cemetery, it can change the method of the law by which it is governed. The cemetery is ruled by zombies and they’ve decided to change the way things are after the tsunami – the cemetery needs a change. The laws and methods of government must be changed.",Picture this zombie government in the cemetery as they debate over laws and methods. It’s a lot of moaning and rotted limbs falling off. Hear the sound of their groans and moans as you smell the rotting flesh in the air.,"The first method they alter is the laws of magicians. They used to have a ban on living magicians, but they changed the law to allow Harry Hou-dini (ほう) to come and perform for them. They really like Hou-dini and are excited to have him perform.","Imagine these zombies watching Hou-dini perform his magic. The zombies are easily amused, so listen to them moan and groan in amazement.",kanji level15
晩,night,ばん,-,"日, 免","Sun, Excuse","The sun has an excuse for disappearing at night. The sun gets really tired, same as anyone else – so when night rolls around the sun excuses itself and goes to sleep. It’s a valid excuse.","Imagine you’re the sun, working all day. Of course you get tired. This is a good excuse to go to bed at night and get some rest. Feel how sore and hot and sweaty and exhausted you are after a hard day’s work of being the sun.","Since you’re the sun, it’s pretty bright, so before you excuse yourself for the night, you’re wearing Ray-Ban (ばん) sunglasses. You keep these Ray-Ban sunglasses on all day to protect your eyes from being burned by yourself.",You’re a pretty cool dude. Ray-Bans are cool. You even wear them at night you’re so awesome. Yeah.,kanji level15
昼,noon,-,ひる,"一, 日, 尺","Ground, Sun, Shrimp","The sun rises from the ground, and on top of it is a giant shrimp. It doesn't do anything except for every day right at noon, when it tells you the time. 'Hey guyz, it's noon, mmk?'","Really try to imagine this giant shrimp on the sun as a normal thing that happens, without fail, every day. The shrimp also tells the time right at noon, every day (so important you stress remembering that it's noon, not some other time). Maybe you could have him sing a 'noon song' in your imagination as well.","At noon, the shrimp also puts on its high heels (ひる) to get ready for the evening, where it wants to make sure it looks good for the other shrimp he/she meets later on.","Right after the shrimp's announcement, imagine it struggling to put on heels, while sitting on the sun. This shrimp is almost bigger than the sun, actually, so all its struggles with its heels are easy to see.",kanji level15
毒,poison,どく,-,"生, 毋","Life, Window","Sitting by the window and contemplating life, you decide to poison yourself. You’ve realized that life has no meaning sitting by this window, so you’ve decided to take your own life by means of poison.",What a terrible way to go. Imagine yourself being poisoned. Feel the poison coursing through your veins as your body starts to fail on you. It’s intense pain followed by nothingness.,"Before you can find poison, you run across a Sudoku (どく) puzzle book. Your life now has meaning! You love Sudoku! So you take your book of Sudoku puzzles back over to the window and decide not to poison yourself.","Have you done Sudoku before? Imagine yourself completing these puzzles and concentrating really hard. They’re fun, but also challenging.",kanji level15
昨,"previous, yesterday",さく,-,日,"Sun, Key","With the right key you can unlock the sun to yesterday, or a previous day. The sun is in charge of the day changes, so if you use a key to unlock it, you can control the flow of time and return to yesterday, or a previous day in the past. Behold the power of the sun.",Imagine having the power to control time like this. Picture yourself unlocking the sun to go back in time. Feel the heat of the sun and the bright light in your eyes as you unlock the door to the past.,"Time traveling to a previous time, like yesterday, can be rough on the body. As such, you wear a small sack (さく) to hold your valuables while you’re ripped through the sands of time. The sack keeps your important stuff from getting lost. The sack holds your key to the sun as well.",Imagine wearing this sack as you’re sucked through the vortex of time and space. Feel yourself spinning around as you hurtle back into yesterday.,kanji level15
帰,return,き,かえ,"冖, 巾, ヨ","Forehead, Two Face, Wolverine, Ribs","You have two face's forehead with a wolverine attached to it and a couple of ribs off to the side. It's obvious that he's been beaten up really badly, and still has a wolverine chomping at him. After all this fighting, he realizes, he's ready to return home.","Who wouldn't be ready to return home after such a beating? It's all he wants. Imagine him on the ground with the wolverine on his forehead chewing away, and he reaches out to you asking you to help him to return home. 'I just want to return home... please help me...' Note that this kanji has to do with returning home, usually.","The best way for Two Face to return home is in a kayak (かえ). He’s right next to a river, so a kayak is definitely the way to go.","Pretend you are Two Face, paddling down the river in your kayak to return home. Feel the breeze in your hair as you speed down the river, water spraying up onto your body.",kanji level15
式,"ritual, equation",しき,-,"工, 弋","Construction, Ceremony","To construct a whole ceremony, you can’t just make it up on the spot. That is not a ceremony. A ceremony has a past. A ceremony is done a certain way because that’s the way it’s always been done. In short, to build a ceremony, you have to create a ritual first. Then, the ritual can be constructed into a bigger, more lavish ceremony. This kanji also means equation for some reason too. Just think of a ceremony that involves doing math and coming up with equations. How strange would that be? Pretend you're at this ceremony.","Ritual and Ceremony kind of mean the same things, sort of. Don't worry too much if you mix them up a little - both will help you to remember the other. There's a reason this kanji is made up of the ceremony radical already!","So, you’re at a ritual. Think of the most ridiculous ceremony you can think of. Give it a shot – I’ll let you come up with the ridiculousness this time (it’s good practice). When you think of your mnemonic, make sure to imagine it with a Sheikh (an Arabic leader). Have the sheikh do something ridiculous to help you to think of this sheikh (しき) and then remember this on’yomi.",It’s good to practice making your own mnemonics up every once in a while. It’ll help you to add on to the mnemonics already here and make better ones more personal to yourself!,kanji level15
列,row,"れつ, れ",-,歹,"Bad, Ribs","You've got yourself some bad ribs, I'm afraid. How many? Several in a row.","Feel your bad ribs. They're tender and bruised, and multiple of them are hurt in a row. Feeling the pain a bit will help you to remember this kanji's meaning better too, so make sure you do that!","How'd you get these busted up ribs, all in a row? You were shot by someone with a ray beam. You remember it vividly. You were shopping, and someone busts in with a ray gun, shooting everywhere. As he's firing, he keeps shouting 'Let's (れつ) Ray! (れ). Then, one ray hit you in the side, where it busted a row of ribs.","Focus on the 'let's ray' part of this mnemonic. Make it a bit ridiculous the way he's yelling it, several different ways.",kanji level15
浅,shallow,せん,あさ,,"Tsunami, Bar","If you visit a bar after a tsunami, you’ll be hanging out in shallow water. After a tsunami, you want to relax with a drink at the bar. Unfortunately, tsunamis cause floods, and the bar floor is immersed in shallow water.","Picture yourself at this bar, sipping on a drink while you’re wading in this shallow water. Feel the shallow water getting your socks and shoes all wet. It’s uncomfortable and cold.","What beer are you drinking at this bar while standing in shallow water? You’re drinking Asahi (あさ), the beer of the salaryman. Asahi is super dry, so it takes your attention away from the shallow water a bit.",Picture yourself in the bar again sipping on this Asahi beer. Taste the beery beer taste of Asahi as you walk around the bar with your wet feet.,kanji level15
単,simple,たん,-,単,Witch Doctor,"A witch doctor lives a simple life. A simple way of living is best for a witch doctor. The more simple their day to day life is, the more in tune with their witch doctor ways they are.","See this witch doctor. He is dressed in simple clothes, has a simple home, and does simple things. Very simple he is.","This simple witch doctor spends a lot of time out in nature so he has developed a deep tan (たん). He tans easily, so it didn’t take long for him to develop a tan.","Imagine the witch doctor again and how simple he is, only this time imagine him with a tan. He looks pretty good.",kanji level15
坂,slope,はん,さか,"土, 反","Grave, Devil",The devil's grave is right before you. All that's left is having to walk up this sharp slope to get there.,Imagine how painful it is to climb up this steep slope. It's long too... really long. Focus in on the slope / hill and think about how terrible this is. Your legs are burning and you feel like you're going to collapse.,"When you get to the top of the slope, you find something odd. A bunch of kids are playing soccer (さか), using the devil's gravestone as a goal.","Feel fear for the kids. You know that this is how you re-awaken the devil! You run over to stop the children from playing soccer, but it's too late. The soccer-form of the devil has arisen, and a new soccer devil is born. 'Want to play some soccer, kids?' he says, as he kicks their ball down the slope.",kanji level15
春,spring,しゅん,はる,日,"Sun, Train","The train is bringing the sun back to your part of the world. When the sun comes back, that means winter is over, and spring is about to begin!",Imagine yourself waiting at the train station for the train to arrive with the sun. You and everyone else are really excited about it coming because it's been a nasty winter.,"When the sun finally arrives, springtime is here! You're so happy. As the sun steps out of the train, you go to greet him. Like santa and his 'ho ho ho,' the sun has his own laugh. He goes 'Har (はる) har har' as he greets everyone in your town.","Have everyone else greeting the sun also say 'har har har' back, as if it's some kind of ritual. Make sure you say it out loud as well while you're imagining the sun giving you a fist bump.",kanji level15
寺,temple,じ,てら,寺,Temple,The temple radical and the temple kanji are exactly the same! Brilliant.,,"Someone died. You ask how this person died, the person who's getting buried by the temple. The priest/monk says it was in a tragic terror (てら) attack.","That's too bad - feel sorry for the person and learn a little more about the terror attack, if it will help you to remember the reading of this kanji better.",kanji level15
浴,bathe,よく,あ,谷,"Valley, Tsunami","A tsunami hits a valley, filling it up with water. Lucky for you, you're a giant, so you just lay down in the valley and use it to bathe.","Sure, there's a lot of water in the valley, but you're big too. It's the perfect place for you to bathe... and good thing too, you're getting smelly.","Of course, people live around here. When you lay down in the valley of water to bathe, you're raising the water level in the valley even more, crushing people and houses. When you do this they all scream AHHHHH (あ)!",It's not so peaceful anymore. It's just one constant scream of AHHHH while you try to bathe. Imagine this irritating you. Your bath is ruined by these dumb little people.,kanji level16
箱,box,-,はこ,"木, 目, 竹","Tree, Eye, Bamboo","Having a keen eye for woodworking, you can tell that the bamboo from that tree over there will make an excellent box. Boxes made from bamboo trees are very sturdy and fashionable. You have an eye for fashion as well, you see.","At some point in school, you most likely had some sort of woodshop class to take. Remember back to those times and imagine yourself crafting a bamboo box out of a bamboo tree you felled yourself. Don’t forget to wear eye protection though! Wouldn’t want anything to happen to those valuable eyes of yours.","While working on your wooden box you hear a strange cry from above. You look up and see an angry hawk (はこ) flying overhead. Oh no! That bamboo you cut down must have been where the hawk lived. Imagine finishing up the box, climbing up some bamboo and tying the box securely up there as a replacement home for the hawk.",Picture the hawk landing in the box and grumpily trying to stuff it full of straw and twigs. At least your beautiful box will put to good use.,kanji level16
係,connection,けい,"かか, かかり","一, ｲ, 糸","Ground, Leader, Thread","A psychic leader can pick a thread up off the ground and make a connection with the person that it came from. This leader is very powerful, so even a thread is enough for them to make a psychic connection with the person who was wearing the thread.","Imagine you are this leader and you just picked up this piece of thread from the ground. You get a jarring psychic connection with the owner of the thread. Your head spins, your heart races, and your hands tremble. Picture this happening to you as you pick up the thread from the ground.","As you develop this psychic connection with the owner of the thread, you can tell that he is currently eating a cake (けい). Since the connection is so strong, you feel like you are eating the cake as well. It’s vanilla strawberry.","Because the connection is so strong, you feel like you too are eating the cake. You taste the fluffy and creamy vanilla strawberry flavors washing over your tongue. Imagine yourself eating this delectable cake. It’s fantastically delicious.",kanji level16
治,"cure, reign","じ, ち",なお,,"Tsunami, Machine","After a tsunami, use this machine to cure the people and the country from the damage. Healing machines are all over Japan just in case a tsunami does way more damage than they can handle. Oh, and whoever cures and heals the most people will be able to rule over them once everything starts going back to normal. So keep that in mind, kay?",Imagine if you had your own machine to cure yourself if a tsunami came to where you live. It would be pretty convenient!,"Alternative ways to cure yourself after a tsunami are either praying to Jesus (じ) or eating your weight in cheese (ち). I'm not sure if I have enough cheese for all the people that got hit though... Hmm, do you have cheese? Before you make your decision, remember that whoever cures you will be able to reignover you and your people. So do you want to be led by Jesus or by some cheese? The choice is yours.",Imagine getting Jesus to cure half the people and feeding the other half lots of cheese and their wounds miraculously healing on their own! You're a hero!,kanji level16
危,dangerous,き,"あぶ, あや","勹, 厂, 巳","Enclosure, Cliff, Snake","Keeping a snake in an enclosure by a cliff is both dangerous for you as well as the snake. It’s dangerous for you because the snake is incredibly poisonous, and it is dangerous to the snake because the enclosure isn’t very secure and the snake might fall down off the cliff to its demise.",Imagine this cliff with the enclosed snake. The cliff itself was scary enough because it’s quite steep and dangerous. The danger is further compounded by the shoddily enclosed dangerous snake. It’s a scary place to be.,"The enclosure that the dangerous snake is enclosed in is locked with a key (き). Unfortunately, the key has been lost, so the enclosure is no longer as secure as it used to be.",How could someone lose the key to such an important lock? They should probably have a new key made before that dangerous snake decides to escape its enclosure. Imagine how frightened you would be knowing that there was an incredibly dangerous and venomous snake on the loose.,kanji level16
冒,dare,ぼう,おか,"日, 目","Sun, Eye","When the sun gets in your eye, I dare you to stare at it. I dare you to look right at the sun. I dare you.",Looking at the sun straight on hurts. It’s bad for your eyes and burns your brain. Imagine how painful it is to stare at the sun.,"After you’ve blinded yourself from the dare of looking at the sun and losing sight in each eye, the guy dares you to go bowling (ぼう). You’re blind now, so bowling will be quite the challenge.",Picture yourself bowling without the power of sight. It would be awfully difficult to do well. You’d just have to concentrate really hard on the sound of the pins and determine where you need to throw the ball.,kanji level16
留,detain,"る, りゅう",と,"ム, 田, 刀","Pile, Rice Paddy, Sword","If you swing your sword around in a rice paddy and create a pile of dead bodies, a group of police officers will come and detain you. Murdering people with a sword is bad, especially in a rice paddy. The pile you’ve created is a bit off though, the murdered bodies are all mechanically altered cyborgs (because the radical for pile in this kanji is altered a bit). But yeah, you’re going to get detained for sure.",Imagine yourself swinging this sword around in a murderous fashion. You’ve created a pile of dead bodies. How do you feel?,"You’re Ryu (りゅう) from Street Fighter and you thought you’d found a loophole (る) in the system to avoid getting detained. You figured if you murdered cyborgs and not actual people you wouldn’t get in trouble. Well, it’s not a loophole, Ryu. You’re getting detained.",Imagine yourself as Ryu. Ryu with a sword. You’re chopping to your right and shooting hadokens to your left. Awesome.,kanji level16
弁,"dialect, speech",べん,-,"ム, 廾","Pile, Twenty","In a pile of twenty dialects, speech will be difficult. There’s twenty dialects you have to deal with here. A massive pile of dialects, so many accents and styles of speech. You’re going to have a hard time getting everyone to understand you and understand everyone in return.",Imagine trying to talk to twenty different people with twenty different dialects of your native language. Imagine what all of them sound like as you talk to them and how you must alter your own speech to accommodate.,"With all these dialects about, coherent speech is impossible. You decide to give up on it and just hand out bento (べん) boxes to everyone. Bentos make for a lovely lunch, and everyone loves and enjoys eating bentos. Bento boxes to the rescue!",Imagine eating a whole pile of bento boxes. What’s your favorite part of a bento? Imagine eating so much of it that you aren’t even capable of speech anymore. Taste the tasty bento box food in your mouth.,kanji level16
証,evidence,しょう,あかし,"言, 正","Say, Correct",What I say is correct 100%. You may use it as evidence in this murder case.,Picture yourself saying something. You're solving the crime. What you say is the evidence itself because you know everything.,"You give up the evidence to the detectives. Then, to top it off you take them to the culprit, the shogun (しょう) who confesses his crime as proof that what you say is true.",Listen to the shogun blubbering away as he confesses his crimes. He can't deny what he's done!,kanji level16
遠,far,えん,とお,,"Water Slide, Zombie",Why'd you put the zombie on the water slide? Because you want to send it far away from you.,"Watch it slide off into the distance. It's a HUGE water slide, so it goes really far.","I mean, REALLY far away. TOO (とお) far even. It's too far, so far that the water slide loops back around the entire world and he lands right back next to you again.","That really is too far, isn't it? A shorter water slide would have been better, methinks. Oops, no more time to think, the zombie is trying to eat you. Run!",kanji level16
園,"garden, park",えん,-,口,"Mouth, Zombie","You're examining the mouth of a zombie. You look inside with a microscope, and you're surprised to see a little garden growing in there. This also means park, too. If you think about it, parks are like cool gardens, especially when you think about Chinese and Japanese gardens. They're so neat and park-like, ammiright?","There's everything! It's just on a miniature scale. So, now you have to figure out why there's a garden growing in a zombie's mouth... so strange.","Go through the things in this zombie mouth garden. There's all the normal stuff, like tomatoes, lettuce, daikon, etc., but one thing that surprises you is the tree ents growing in there. He's growing young ents somehow, even though the ent wives have all supposedly disappeared!","Of course, you'll need to know what an ent is to make sense of this, so if you don't, do a little research (hint: it's a Lord Of The Rings thing - they're tree people).",kanji level16
門,gates,もん,-,門,Gate,The radical for gate and the kanji for gates are the same!,Know your radicals or you won't be allowed to pass.,"You're standing in front of some gates. You can't get through them, but on the other side you hear all kinds of loud moans (もん). Are those zombie noises? Is this gate to keep the zombies out, or in?","They start pounding on the gate, and it begins to budge. Focus in on their moaning noises, because that's the reading of this kanji, but also feel the fear as well. When you start moaning too, it seems to calm them. Go ahead and pretend you're in front of this gate, and moan out loud for me a bit. Uwhhhhhh. Muhehwhhhhhhh.",kanji level16
府,government,ふ,-,"广, 付","Mullet, Glue",You can glue a mullet on to avoid the government. A mullet is a great disguise when you are being pursued by government agents and all you have to do is just glue it right on. Mullets – the perfect disguise.,Just imagine yourself with a mullet. You look silly. Now imagine yourself in a high action spy movie (with a mullet) trying to evade government agents.,You’re fooling (ふ) the government by looking like a silly fool with a mullet. The government will never realize you are who you really are. You’ve really got them fooled.,"You can fool anyone with your new mullet disguise, government agents or otherwise. Even your own mother wouldn’t recognize you.",kanji level16
幸,happiness,こう,"しあわ, さいわ, さち","亠, 辛","Lid, Spicy","Your best friend こういち has a lid on his head after eating all the spicy food and now he is filled with happiness. The lid is on こういち's head because he ate all the spicy food out of the pot headfirst, so the lid ended up atop his noggin. But now that all the food is gone, こういち is filled with happiness because his tummy is full and he really loves spicy foods.","Imagine こういち's happiness. See him sitting on the floor with a dumb grin on his face, licking his chops after his satisfying meal.",Who is overflowing with happiness? It's こういち. こういち has tons of happiness because he ate all the spicy food and it was magnificent.,"こういち likes spicy foods. Imagine him eating the spiciest food in the world, ever. こういち’s face looks so joyful, so full of happiness.",kanji level16
阪,"heights, slope",はん,さか,反,"Devil, Butcher","A devil butcher who is afraid of heights will be sure to stay away from steep downward slopes. This particular devil has chosen butchery as a profession, because he’s too scared to stand around and maintain the pit of hell. Heights scare the devil butcher, and the slope down to hell is a steep one. Very scary.",Imagine you are this butcher devil who is very afraid of heights. You’re standing on a very steep slope and the drop is terrifying. Imagine your terror as you fear falling from this great height.,"You know who isn’t scared of any sort of heights or steep slopes? Han (はん) Solo, that’s who. Han Solo may be a handsome devil, but he’s no wussy devil butcher who’s afraid of heights. Han Solo is a manly man.",Imagine you are Han Solo. You fly around the galaxy and do all sorts of crazy things up in the sky so heights don’t bother you at all. You are Han Solo and you are very brave.,kanji level16
急,hurry,きゅう,いそ,"勹, 心, ヨ","Enclosure, Heart, Wolverine","Wolverine’s heart enclosure is failing – hurry, we need to fix it! He’s been stabbed and his adamantium heart enclosure is falling apart. We need to repair it with more adamantium. Hurry! There isn’t much time.",Hearts are important to everyone. Imagine if your heart was failing on you. It wouldn’t be pleasant. Would you want everyone to dawdle and putter around when they were fixing you up? No! You want them to hurry!,"As Wolverine struggles to stay alive, he starts to hallucinate. What does he see? Cute (きゅう) rabbits. They’re the cutest rabbits anyone has ever seen ever. Is this normal for Wolverine? No. He’s seriously messed up. We need to hurry and get his adamantium fixed, like, pronto.","How ridiculous would Wolverine be, fantasizing about cute rabbits. Imagine knowing his cute rabbit secret. Doesn’t seem like such a tough guy anymore, now does he?",kanji level16
笑,laugh,しょう,"わら, え","天, 竹","Heaven, Bamboo","Bamboo heaven is a place for laughing. Bamboo is a very jolly plant, and they love to laugh. Even after death in bamboo heaven, the bamboo continue to laugh joyfully. Bamboo heaven is truly a place of laughter.","Imagine yourself as a bamboo plant, laughing in heaven. What are you laughing about? Chuckle to yourself as you remember this kanji.","There’s actually a war a goin’ on up in that there bamboo heaven, y’know? Ye might not have heard of it with all that there laughin’ a goin’ on, but there definitely be a war a (わら) goin’ on up in bamboo heaven, y’hear? The bamboo are scared so that’s why they be laughin’ so much. They nervous.","Now picture these bamboo again up in bamboo heaven, and remember this strange accent to remember that the bamboo plants up in bamboo heaven are laughing with nervous laughter at this bamboo war that’s a goin’ on up there.",kanji level16
荷,luggage,か,に,"ｲ, 可","Leader, Lip Ring, Flowers","The lip ring wearing leader of the Flowers Gang does not carry his own luggage anywhere. He is so powerful, respected, and feared that people always carry his luggage for him wherever he goes. You might not think a leader of a gang called the Flowers would be intimidating, but he is.","Picture this lip ring wearing gang leader. He’s clad in studded leather and has a big flower embroidered onto the back of his jacket. It’s a big thorny rose. Imagine him in your head, hear the sound of his leather outfit as he strides along unencumbered by luggage.","Remember that giant thorny rose on the lip ring wearing leader’s back? The thorns coming out of it are real, and they’re as sharp as needles (に). You wouldn’t want to prick your finger on them. They’re super pointy and he uses them to defend his luggage.","Imagine how much it hurts to get pricked by a needle, especially on your finger. Picture this happening to you now. Not comfortable, is it?",kanji level16
政,politics,せい,-,"夂, 正","Winter, Correct","That’s correct, winter is the time for government and politics. Elections start to creep up around winter time, so there’s lots of politics and government to talk about. That’s correct.",Imagine all this politics and government talk as you shiver outside in the winter cold. You’re freezing and you’re bored.,"Just when you thought politics and government talk couldn’t get any less interesting, Hard Gay busts out from nowhere shouting, “Sei (せい), sei, sei!” Hooray, life is interesting again. Thanks, Hard Gay! Sei, sei, sei!",Imagine how much more interesting government talk and politics would be if Hard Gay was involved. Just picture it.,kanji level16
保,"preserve, guarantee",ほ,たも,"口, 木, ｲ","Mouth, Tree, Leader","The mouth of a tree leader is all about trying to preserve the trees. In fact, he guarantees that he will preserve the trees if it's the last thing he does.","Basically, a tree leader is someone who stands up for trees. Mostly he talks, but that can be a powerful skill to have.","He chains himself to a tree to keep the lumberjacks out. Unfortunately, the lumberjacks just take a giant back hoe (ほ) and tear this tree leader and the tree he's attached to in half.","What a terrible scene. Focus on the fact that they're using a horrible, modified back hoe. It's more like a weapon than a back hoe, and they show no mercy at all.",kanji level16
品,product,ひん,しな,品,Products,The products radical and the product kanji are exactly the same! Productive!,,"As you try to sell these products, you finally get a buyer. It's a Hindu (ひん). She walks in and buys your products on the spot!","Then another Hindu person walks in your store and buys some. Then another... What are all these Hindu people doing buying your products, you wonder? When you ask them, they tell you 'it's a cultural thing.'",kanji level16
守,protect,"す, しゅ","まも, もり","宀, 寸","Helmet, Measurement","You have to get the measurement of the helmet to make it fit your head. If it doesn't fit properly, it can't protect you properly.","Alternately, you can just put a measured helmet on, and go to battle, using it to protect you from all the enemies. Even better, imagine yourself naked except the helmet you have on. It's your only protection.","The helmet you got for your head, though, did not protect. Imagine getting hit, and it splitting in half. In half a daze, the first thing you think is that you're going to sue (す) the helmet company for their shoddy helmets.","Go ahead and imagine yourself in court, actually suing the helmet company. Listen to the proceedings, listen to the judge, and get a verdict. How did you fare? Did you get a lot of money for suing the helmet company, which was supposed to protect you?",kanji level16
辞,"quit, word",じ,や,"舌, 辛","Tongue, Spicy","When your tongue becomes too spicy for you to bear, it’s time to quit the jalapeño eating contest. You’ve been eating them for three hours now and the spiciness from the peppers is really burning your tongue. Throw in the towel, it’s time to quit the contest. This kanji has another meaning too: Eating isn't the only thing that makes your tongue spicy, so do certain words. Say your favorite words out loud right now. Feel them on your tongue. Words are the spicy food of language!","You may have to quit eating but you never have to quit saying words. Especially if you're, well, trying to learn a whole new language full of them.","You may have to quit eating but you never have to quit saying words. Especially if you're, well, trying to learn a whole new language full of them.","Picture Jesus scarfing down jalapeño peppers. He never quits. And then he says some words about how the jalapeños gave up their lives for this contest, so we better appreciate them. Thanks Jesus!",kanji level16
真,reality,しん,ま,,"Fins, Ground, Pope","If the pope spends all day staring at fins on the ground, he’s going to lose touch with reality. He should be focusing on his popish duties, but instead he’s looking at the fish fins he dropped, and now can’t eat because they’re dirty. Silly pope. You can’t let this one thing get you down. You have other things to do.","Picture trying to get the pope to stop staring at the fins laying on the dirty ground. His eyes are all big. Yup, he’s completely lost touch with reality, you think.","You’re doing your best to bring the pope back to reality when he snaps and kicks you in the shin (しん). Oww! What the heck, pope! But he’s already back staring at the fins and your shin is throbbing where he kicked.",Imagine the pope angrily kicking your shin super hard. You fall over and pull it close. Feel how badly it aches. Who knew you’d need shin guards to deal with a pope that’s lost touch with reality just from dropping his dinner.,kanji level16
